edge_idx,i,j,fwd_rate,bwd_rate,K,T
0,0,1,1.5,0.5,0.11111111111111191,0.22222222222222268
1,0,3,1.5,0.5,0.11111111111111184,0.22222222222222276
2,1,2,1.5,0.5,0.11111111111111072,0.2222222222222216
3,1,4,1.5,0.5,0.11111111111111074,0.22222222222222157
4,2,0,1.5,0.5,0.11111111111111054,0.22222222222222204
5,2,5,1.5,0.5,0.11111111111111052,0.22222222222222207
6,3,4,1.5,0.5,0.11111111111111094,0.22222222222222177
7,3,6,1.5,0.5,0.11111111111111094,0.22222222222222177
8,4,5,1.5,0.5,0.1111111111111105,0.22222222222222204
9,4,7,1.5,0.5,0.1111111111111105,0.22222222222222204
10,5,3,1.5,0.5,0.1111111111111119,0.22222222222222282
11,5,8,1.5,0.5,0.11111111111111191,0.2222222222222228
12,6,7,1.5,0.5,0.11111111111111047,0.22222222222222202
13,6,0,1.5,0.5,0.11111111111111048,0.222222222222222
14,7,8,1.5,0.5,0.11111111111111185,0.22222222222222274
15,7,1,1.5,0.5,0.11111111111111191,0.22222222222222268
16,8,6,1.5,0.5,0.11111111111111094,0.22222222222222177
17,8,2,1.5,0.5,0.11111111111111091,0.2222222222222218
